"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","moi_0.300000_iter_8","nonzero",550968,955,198,19525,0.989960959286113,0.953369140625,0.617021799087524
"fishash_refit10","moi_0.300000_iter_8","full",3979249,1127,48,19576,0.997554015491235,0.945563444911365,2.52886295318604
"fishash_refit10","moi_0.300000_iter_8","nonzero",551118,904,48,19576,0.997554015491235,0.955859375,2.52886295318604
"fishash+_poisson","moi_0.300000_iter_8","full",3978766,973,531,19730,0.973792014214501,0.953001980389316,0.435586214065552
"fishash+_poisson","moi_0.300000_iter_8","nonzero",550635,750,531,19730,0.973792014214501,0.96337890625,0.435586214065552
"fishash_poisson_rawd","moi_0.300000_iter_8","full",3979252,1144,45,19559,0.997704550091818,0.944742307878085,0.286516904830933
"fishash_poisson_rawd","moi_0.300000_iter_8","nonzero",551121,921,45,19559,0.997704550091818,0.955029296875,0.286516904830933
"fishash+_contingency","moi_0.300000_iter_8","full",3978731,978,566,19725,0.972105859740772,0.952760469497174,1.61675095558167
"fishash+_contingency","moi_0.300000_iter_8","nonzero",550600,755,566,19725,0.972105859740772,0.963134765625,1.61675095558167
"fishash_refit0","moi_0.300000_iter_9","full",3978914,1098,182,19806,0.990894536722033,0.947474167623421,0.601590156555176
"fishash_refit0","moi_0.300000_iter_9","nonzero",517080,873,182,19806,0.990894536722033,0.957783258378065,0.601590156555176
"fishash_refit10","moi_0.300000_iter_9","full",3979036,1048,60,19856,0.996987346856799,0.949866054343666,1.85770702362061
"fishash_refit10","moi_0.300000_iter_9","nonzero",517202,823,60,19856,0.996987346856799,0.960201170269355,1.85770702362061
"fishash+_poisson","moi_0.300000_iter_9","full",3978488,893,608,20011,0.97051263397837,0.957280903176426,0.336102962493896
"fishash+_poisson","moi_0.300000_iter_9","nonzero",516654,668,608,20011,0.97051263397837,0.967696697132357,0.336102962493896
"fishash_poisson_rawd","moi_0.300000_iter_9","full",3979041,1058,55,19846,0.997236319782925,0.949387676999617,0.281879901885986
"fishash_poisson_rawd","moi_0.300000_iter_9","nonzero",517207,833,55,19846,0.997236319782925,0.959717587891097,0.281879901885986
"fishash+_contingency","moi_0.300000_iter_9","full",3978455,893,641,20011,0.968961843889212,0.957280903176426,1.58028602600098
"fishash+_contingency","moi_0.300000_iter_9","nonzero",516621,668,641,20011,0.968961843889212,0.967696697132357,1.58028602600098
"fishash_refit0","moi_0.300000_iter_10","full",3978982,1111,183,19724,0.990807253729844,0.946676265898728,0.63662314414978
"fishash_refit0","moi_0.300000_iter_10","nonzero",562703,890,183,19724,0.990807253729844,0.956825458426312,0.63662314414978
"fishash_refit10","moi_0.300000_iter_10","full",3979108,1065,57,19770,0.997125132395219,0.948884089272858,1.93940901756287
"fishash_refit10","moi_0.300000_iter_10","nonzero",562829,844,57,19770,0.997125132395219,0.9590569515863,1.93940901756287
"fishash+_poisson","moi_0.300000_iter_10","full",3978587,932,578,19903,0.971778721742102,0.955267578593712,0.647894144058228
"fishash+_poisson","moi_0.300000_iter_10","nonzero",562308,711,578,19903,0.971778721742102,0.965508877461919,0.647894144058228
"fishash_poisson_rawd","moi_0.300000_iter_10","full",3979110,1077,55,19758,0.997224044819058,0.948308135349172,0.48662805557251
"fishash_poisson_rawd","moi_0.300000_iter_10","nonzero",562831,856,55,19758,0.997224044819058,0.958474822935869,0.48662805557251
"fishash+_contingency","moi_0.300000_iter_10","full",3978568,926,597,19909,0.970886569784453,0.955555555555556,0.838904857635498
"fishash+_contingency","moi_0.300000_iter_10","nonzero",562289,705,597,19909,0.970886569784453,0.965799941787135,0.838904857635498
"fishash_refit0","moi_0.500000_iter_1","full",3977029,1321,131,21519,0.993949191685912,0.942162872154116,0.63044810295105
"fishash_refit0","moi_0.500000_iter_1","nonzero",502026,1072,131,21519,0.993949191685912,0.95254747465805,0.63044810295105
"fishash_refit10","moi_0.500000_iter_1","full",3977106,1337,54,21503,0.997495013220764,0.94146234676007,2.06891894340515
"fishash_refit10","moi_0.500000_iter_1","nonzero",502103,1088,54,21503,0.997495013220764,0.951839228011155,2.06891894340515
"fishash+_poisson","moi_0.500000_iter_1","full",3976692,1048,468,21792,0.978975741239892,0.954115586690018,0.469666004180908
"fishash+_poisson","moi_0.500000_iter_1","nonzero",501689,799,468,21792,0.978975741239892,0.964631933070692,0.469666004180908
"fishash_poisson_rawd","moi_0.500000_iter_1","full",3977112,1355,48,21485,0.997770863326058,0.940674255691769,0.272786140441895
"fishash_poisson_rawd","moi_0.500000_iter_1","nonzero",502109,1106,48,21485,0.997770863326058,0.951042450533398,0.272786140441895
"fishash+_contingency","moi_0.500000_iter_1","full",3976678,1048,482,21792,0.978360420220885,0.954115586690018,0.777798891067505
"fishash+_contingency","moi_0.500000_iter_1","nonzero",501675,799,482,21792,0.978360420220885,0.964631933070692,0.777798891067505
"fishash_refit0","moi_0.500000_iter_2","full",3977000,1391,219,21390,0.989865333888657,0.938940345024362,0.668589115142822
"fishash_refit0","moi_0.500000_iter_2","nonzero",512373,1139,219,21390,0.989865333888657,0.949442940210395,0.668589115142822
"fishash_refit10","moi_0.500000_iter_2","full",3977146,1344,73,21437,0.996606229660623,0.941003467802116,2.08054399490356
"fishash_refit10","moi_0.500000_iter_2","nonzero",512519,1092,73,21437,0.996606229660623,0.951529140219273,2.08054399490356
"fishash+_poisson","moi_0.500000_iter_2","full",3976566,1104,653,21677,0.970756829377519,0.951538562837452,0.558462858200073
"fishash+_poisson","moi_0.500000_iter_2","nonzero",511939,852,653,21677,0.970756829377519,0.962182076434817,0.558462858200073
"fishash_poisson_rawd","moi_0.500000_iter_2","full",3977153,1366,66,21415,0.996927517340906,0.94003775075721,0.264330863952637
