"method","moi","mu","th","jaccard","precision","recall"
"ours","highMOI",50,"th015",0.506808410209473,0.634367191315416,0.717576949708332
"ours","highMOI",50,"th05",0.661027643790116,0.756329572454844,0.840336337074819
"ours","highMOI",50,"th15",0.762044909071375,0.792146879386281,0.952458434392642
"ours","highMOI",150,"th015",0.617592347341604,0.816960990968772,0.71762450666724
"ours","highMOI",150,"th05",0.767941240891561,0.882219647502513,0.855749416971678
"ours","highMOI",150,"th15",0.888252893519495,0.908012621995185,0.976146051051364
"ours","highMOI",500,"th015",0.692922152894266,0.96641766737561,0.710652005275388
"ours","highMOI",500,"th05",0.855649128443964,0.985924367675953,0.866204096202022
"ours","highMOI",500,"th15",0.970157022061218,0.983626344703951,0.986094041032395
"ours","lowMOI",5,"th015",0.295873171007207,0.354570496758224,0.64155556563093
"ours","lowMOI",5,"th05",0.396492961129368,0.484286035700281,0.686614931089198
"ours","lowMOI",5,"th15",0.449966998983981,0.541587646969347,0.726751801757963
"ours","lowMOI",15,"th015",0.38292379832995,0.460042915496646,0.696323629533559
"ours","lowMOI",15,"th05",0.520147768985623,0.61196972614833,0.776309009354993
"ours","lowMOI",15,"th15",0.608040632974813,0.666877371068253,0.873268655231362
"ours","lowMOI",50,"th015",0.504054575770392,0.630704643758797,0.715281999512522
"ours","lowMOI",50,"th05",0.642730923109625,0.740443340849575,0.829946731338898
"ours","lowMOI",50,"th15",0.76067770705098,0.797255755924473,0.943151591616536
"ours","lowMOI",150,"th015",0.616602268539538,0.825839254337736,0.709337592965391
"ours","lowMOI",150,"th05",0.769795386007585,0.886037194215068,0.854726795555727
"ours","lowMOI",150,"th15",0.878619693253803,0.901031433630881,0.972513314594905
"ours","lowMOI",500,"th015",0.686200637255451,0.973209390107629,0.699590050984494
"ours","lowMOI",500,"th05",0.85237559710968,0.980741624561765,0.866938273660917
"ours","lowMOI",500,"th15",0.966425613896628,0.986591193622139,0.979273785027615
"valley","highMOI",5,"th015",0.288786743646256,0.55086050070446,0.411840949235448
"valley","highMOI",5,"th05",0.244286640687631,0.647071641089481,0.314619812276467
"valley","highMOI",5,"th15",0.219275299240992,0.692341827034436,0.268236822226622
"valley","highMOI",15,"th015",0.311565069418971,0.652544672472542,0.421199654800516
"valley","highMOI",15,"th05",0.418383609881945,0.765200806621812,0.516894648504159
"valley","highMOI",15,"th15",0.509387509691353,0.755056611734657,0.652773780587086
"valley","highMOI",50,"th015",0.370436274779342,0.687411880397014,0.503610998507788
